entropy_vector Network.target (#0 - General-0-20190613-21:08:15-5618),
30,0.940285958670630023
60,1.487880870325199995
90,2.175789375203700072
120,2.069229289250899657
150,1.950206851370400056
180,2.061094749072100097
210,2.126768060631199822
240,2.13403038518989962
270,2.162178913666600077
300,2.154713381849199463
330,2.11579236861469954
360,2.113393110091999808
390,2.189033453495399675
420,2.174135973999700147
450,2.148490259682399806
480,2.161590944893499781
510,2.29414301362730021
540,2.493162627298599597
570,2.683542707516999737
600,2.867667528546499852
630,3.022994241990000205
660,3.163213745732599937
690,3.311176136071299667
720,3.443260892991699667
750,3.559492546228700132
780,3.661064329018699925
810,3.786753005595199877
840,3.887099805874799845
870,3.975428284608700107
900,4.070976790575199882
930,4.159815065033999545
960,4.239892971944300357
990,4.312383008169199157
1020,4.3946828754022995
1050,4.470978876880199217
1080,4.535340559022399612
1110,4.593521030692899725
1140,4.668838279872799625
1170,4.73160331276450028
1200,4.785737825674399185
1230,4.851041465249299005
1260,4.907902988912599775
1290,4.957095162210599405
1320,5.00247256198530008
1350,5.06365409136889963
1380,5.11200611567259953
1410,5.154847919716299725
1440,5.191055992639400415
1470,5.191055992639400415
1500,5.191055992639400415
1530,5.191055992639400415
1560,5.191055992639400415
1590,5.191055992639400415
1620,5.191055992639400415
1650,5.191055992639400415
1680,5.191055992639400415
1710,5.191055992639400415
1740,5.191055992639400415
1770,5.191055992639400415
1800,5.191055992639400415
1830,5.191055992639400415
1860,5.191055992639400415
1890,5.191055992639400415
1920,5.191055992639400415
1950,5.191055992639400415
1980,5.191055992639400415
